C,0.4666666666666667,0.6666666666666666,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.6666666666666666,0.4666666666666667,0.5333333333333333,0.8,0.6666666666666666,0.6,0.13333333333333333,0.6666666666666666,0.2,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T,0.2,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.4,0.9333333333333333,0.06666666666666667,0.3333333333333333,0.5333333333333333,0.6666666666666666,0.4666666666666667,0.0,0.5333333333333333,0.0,0.5333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O,0.26666666666666666,0.6666666666666666,0.4,0.5333333333333333,0.26666666666666666,0.5333333333333333,0.4,0.6,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.5333333333333333,0.2,0.5333333333333333,0.2,0.5333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W,0.4666666666666667,0.6,0.4666666666666667,0.4666666666666667,0.4,0.13333333333333333,0.7333333333333333,0.13333333333333333,0.2,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.4,0.7333333333333333,0.13333333333333333,0.4666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
U,0.13333333333333333,0.2,0.2,0.13333333333333333,0.06666666666666667,0.4,0.5333333333333333,0.4,0.4,0.4666666666666667,0.6,0.6,0.2,0.6,0.0,0.5333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L,0.13333333333333333,0.06666666666666667,0.2,0.2,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.4,0.4666666666666667,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.4666666666666667,0.06666666666666667,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z,0.26666666666666666,0.6666666666666666,0.4,0.4666666666666667,0.4,0.5333333333333333,0.5333333333333333,0.13333333333333333,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.5333333333333333,0.6666666666666666,0.5333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O,0.3333333333333333,0.6666666666666666,0.4,0.5333333333333333,0.6,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.06666666666666667,0.4666666666666667,0.4,0.4666666666666667,0.7333333333333333,0.7333333333333333,0.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
G,0.26666666666666666,0.6,0.3333333333333333,0.4666666666666667,0.2,0.3333333333333333,0.4666666666666667,0.4,0.3333333333333333,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.13333333333333333,0.5333333333333333,0.3333333333333333,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0.26666666666666666,0.7333333333333333,0.3333333333333333,0.5333333333333333,0.26666666666666666,0.4,0.5333333333333333,0.6666666666666666,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.13333333333333333,0.5333333333333333,0.6,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
